Date,Adj Close,Close,High,Low,Open,Volume
3/12/2018,247.2231293,278.519989,279.9100037,278.0799866,279.2000122,71924800
3/13/2018,245.6253662,276.7200012,280.4100037,276.0299988,279.8399963,91968900
3/14/2018,244.3649292,275.2999878,278.019989,274.6700134,277.8099976,105895100
3/15/2018,244.0986633,275,276.6099854,274.4299927,275.8800049,83433000
3/16/2018,244.3632813,274.2000122,275.3900146,274.1400146,274.5,100343700
3/19/2018,241.0571442,270.4899902,274.3999939,268.6199951,273.3500061,109208400
3/20/2018,241.4670563,270.9500122,271.6700134,270.1799927,270.9400024,59757300
3/21/2018,241.0035706,270.4299927,273.269989,270.1900024,270.8999939,78709600
3/22/2018,234.9792175,263.6700134,268.8699951,263.3599854,267.9100037,148785900
3/23/2018,229.9707184,258.0499878,264.5400085,257.8299866,264.1700134,183534800
3/26/2018,236.2624817,265.1099854,265.4299927,259.4100037,262.1300049,141956100
3/27/2018,232.2432404,260.6000061,266.769989,258.8399963,266.1700134,129941400
3/28/2018,231.5569916,259.8299866,262.6400146,258.5799866,260.75,146452300
3/29/2018,234.5158081,263.1499939,265.2600098,259.8399963,261.1199951,111601600
4/2/2018,229.4538269,257.4700012,263.1300049,254.6699982,262.5499878,186286300
4/3/2018,232.3947296,260.769989,261.3099976,256.8399963,258.8699951,119956900
4/4/2018,234.8811035,263.5599976,264.3599854,256.6000061,256.75,123715300
4/5/2018,236.7348328,265.6400146,266.6400146,264.3200073,265.5499878,82652600
4/6/2018,231.4589691,259.7200012,265.1099854,258,263.4200134,179521200
4/9/2018,232.5996857,261,264.8399963,259.9400024,261.3699951,105442900
4/10/2018,236.2980957,265.1499939,266.0400085,262.980011,264.269989,103529000
4/11/2018,235.059433,263.7600098,265.6400146,263.3900146,263.4700012,91140200
4/12/2018,236.9932251,265.9299927,267,265.0599976,265.2600098,68890500
4/13/2018,236.2980957,265.1499939,267.5400085,264.0100098,267.4100037,85079200
4/16/2018,238.2408905,267.3299866,268.2000122,266.0700073,267,63405300
4/17/2018,240.7896729,270.1900024,270.8699951,268.75,269.3299866,64682000
4/18/2018,240.9679565,270.3900146,271.2999878,269.8699951,270.6900024,57303900
4/19/2018,239.631134,268.8900146,269.8800049,267.7200012,269.6499939,77655900
4/20/2018,237.5992584,266.6099854,269.0599976,265.6099854,268.8099976,99953100
4/23/2018,237.5636292,266.5700073,267.8900146,265.3500061,267.2600098,65558000
4/24/2018,234.3642883,262.980011,267.980011,261.2799988,267.730011,112885500
4/25/2018,234.9435577,263.6300049,264.1300049,260.8500061,262.9100037,103840900
4/26/2018,237.3319244,266.3099976,267.25,264.2900085,264.7900085,67731900
4/27/2018,237.554657,266.5599976,267.3399963,265.5,267,57053600
